Time	Meter Out Counter value ls	Meter Out Measure ls/min
"?""2022-02-07 13:55:06.679"""	0.07910402	0
"?""2022-02-07 13:55:16.677"""	0.07910402	0
"?""2022-02-07 13:55:26.677"""	0.07910402	0
"?""2022-02-07 13:55:36.678"""	0.07910402	0
"?""2022-02-07 13:55:46.677"""	0.07910402	0
"?""2022-02-07 13:55:56.677"""	0.07910402	0
"?""2022-02-07 13:56:06.674"""	0.07910402	0
"?""2022-02-07 13:56:16.674"""	0.07910402	0
"?""2022-02-07 13:56:26.673"""	0.07910402	0
"?""2022-02-07 13:56:36.674"""	0.07910402	0
"?""2022-02-07 13:56:46.674"""	0.07910402	0
"?""2022-02-07 13:56:56.673"""	0.07910402	0
"?""2022-02-07 13:57:06.672"""	0.07910402	0
"?""2022-02-07 13:57:16.672"""	0.07910402	0
"?""2022-02-07 13:57:26.671"""	0.07910402	0
"?""2022-02-07 13:57:36.672"""	0.07910402	0
"?""2022-02-07 13:57:46.671"""	0.07910402	0
"?""2022-02-07 13:57:56.672"""	0.07910402	0
"?""2022-02-07 13:58:06.669"""	0.09221558	0
"?""2022-02-07 13:58:16.668"""	0.09524506	0
"?""2022-02-07 13:58:26.669"""	0.1153102	0
"?""2022-02-07 13:58:36.669"""	0.1153102	0
"?""2022-02-07 13:58:46.669"""	0.1153102	0
"?""2022-02-07 13:58:56.670"""	0.1153102	0
"?""2022-02-07 13:59:06.669"""	0.1153102	0
"?""2022-02-07 13:59:16.670"""	0.1153102	0
"?""2022-02-07 13:59:26.670"""	0.1153102	0
"?""2022-02-07 13:59:36.669"""	0.1153102	0
"?""2022-02-07 13:59:46.668"""	0.1153102	0
"?""2022-02-07 13:59:56.668"""	0.1153102	0
"?""2022-02-07 14:00:06.665"""	0.1153102	0
"?""2022-02-07 14:00:16.664"""	0.1153102	0
"?""2022-02-07 14:00:26.664"""	0.1153102	0
"?""2022-02-07 14:00:36.664"""	0.1153102	0
"?""2022-02-07 14:00:46.665"""	0.1153102	0
"?""2022-02-07 14:00:56.663"""	0.1153102	0
"?""2022-02-07 14:01:06.664"""	0.1153102	0
"?""2022-02-07 14:01:16.664"""	0.1153102	0
"?""2022-02-07 14:01:26.664"""	0.1153102	0
"?""2022-02-07 14:01:36.664"""	0.1153102	0
"?""2022-02-07 14:01:46.665"""	0.1153102	0
"?""2022-02-07 14:01:56.665"""	0.1153102	0
"?""2022-02-07 14:02:06.664"""	0.1153102	0
"?""2022-02-07 14:02:16.665"""	0.1153102	0
"?""2022-02-07 14:02:26.665"""	0.1153102	0
"?""2022-02-07 14:02:36.665"""	0.1153347	0.1693278
"?""2022-02-07 14:02:46.664"""	0.1255268	0
"?""2022-02-07 14:02:56.660"""	0.1348008	0.26214
"?""2022-02-07 14:03:06.660"""	0.1417791	0
"?""2022-02-07 14:03:16.661"""	0.1417791	0
"?""2022-02-07 14:03:26.661"""	0.1417791	0
"?""2022-02-07 14:03:36.662"""	0.1417791	0
"?""2022-02-07 14:03:46.657"""	0.1417791	0
"?""2022-02-07 14:03:56.656"""	0.1417791	0
"?""2022-02-07 14:04:06.656"""	0.1417791	0
"?""2022-02-07 14:04:16.653"""	0.1417791	0
"?""2022-02-07 14:04:26.653"""	0.1417791	0
"?""2022-02-07 14:04:36.649"""	0.1417791	0
"?""2022-02-07 14:04:46.648"""	0.1417791	0
"?""2022-02-07 14:04:56.648"""	0.1417791	0
"?""2022-02-07 14:05:06.647"""	0.1417791	0
"?""2022-02-07 14:05:16.648"""	0.1417791	0
"?""2022-02-07 14:05:26.647"""	0.1417791	0
"?""2022-02-07 14:05:36.647"""	0.1417791	0
"?""2022-02-07 14:05:46.646"""	0.1417791	0
"?""2022-02-07 14:05:56.639"""	0.1417791	0
"?""2022-02-07 14:06:06.640"""	0.1417791	0
"?""2022-02-07 14:06:16.639"""	0.1417791	0
"?""2022-02-07 14:06:26.640"""	0.1417791	0
"?""2022-02-07 14:06:36.640"""	0.1417791	0
"?""2022-02-07 14:06:46.639"""	0.1417791	0
"?""2022-02-07 14:06:56.641"""	0.1417791	0
"?""2022-02-07 14:07:06.639"""	0.1417791	0
"?""2022-02-07 14:07:16.639"""	0.1417791	0
"?""2022-02-07 14:07:26.639"""	0.1417791	0
"?""2022-02-07 14:07:36.637"""	0.1417791	0
"?""2022-02-07 14:07:46.634"""	0.1417791	0
"?""2022-02-07 14:07:56.635"""	0.1417791	0
"?""2022-02-07 14:08:06.636"""	0.1422761	0.1411766
"?""2022-02-07 14:08:16.635"""	0.1525338	0.01029204
"?""2022-02-07 14:08:26.634"""	0.1526466	0
"?""2022-02-07 14:08:36.634"""	0.1526466	0
"?""2022-02-07 14:08:46.633"""	0.1562026	0
"?""2022-02-07 14:08:56.633"""	0.1622031	0
"?""2022-02-07 14:09:06.633"""	0.1712455	0
"?""2022-02-07 14:09:16.627"""	0.1712455	0
"?""2022-02-07 14:09:26.681"""	0.1712455	0
"?""2022-02-07 14:09:36.623"""	0.1712455	0
"?""2022-02-07 14:09:46.627"""	0.1712455	0
"?""2022-02-07 14:09:56.621"""	0.1712455	0
"?""2022-02-07 14:10:06.624"""	0.1712455	0
"?""2022-02-07 14:10:16.630"""	0.1712455	0
"?""2022-02-07 14:10:26.619"""	0.1712455	0
"?""2022-02-07 14:10:36.625"""	0.1712455	0
"?""2022-02-07 14:10:46.619"""	0.1712455	0
"?""2022-02-07 14:10:56.622"""	0.1712455	0
"?""2022-02-07 14:11:06.627"""	0.1712455	0
"?""2022-02-07 14:11:16.617"""	0.1712455	0
"?""2022-02-07 14:11:26.623"""	0.1712455	0
"?""2022-02-07 14:11:36.615"""	0.1712455	0
"?""2022-02-07 14:11:46.620"""	0.1712455	0
"?""2022-02-07 14:11:56.613"""	0.1712455	0
"?""2022-02-07 14:12:06.614"""	0.1712455	0
"?""2022-02-07 14:12:16.621"""	0.1712455	0
"?""2022-02-07 14:12:26.612"""	0.1712455	0
"?""2022-02-07 14:12:36.616"""	0.1712455	0
"?""2022-02-07 14:12:46.610"""	0.1712455	0
"?""2022-02-07 14:12:56.613"""	0.1712455	0
"?""2022-02-07 14:13:06.619"""	0.1712455	0
"?""2022-02-07 14:13:16.608"""	0.1712455	0
"?""2022-02-07 14:13:26.615"""	0.1712455	0
"?""2022-02-07 14:13:36.621"""	0.1712455	0
"?""2022-02-07 14:13:46.611"""	0.1712455	0
"?""2022-02-07 14:13:56.617"""	0.1712455	0
"?""2022-02-07 14:14:06.606"""	0.1712455	0
"?""2022-02-07 14:14:16.599"""	0.1712455	0
"?""2022-02-07 14:14:26.602"""	0.1712455	0
"?""2022-02-07 14:14:36.608"""	0.1712455	0
"?""2022-02-07 14:14:46.598"""	0.1712455	0
"?""2022-02-07 14:14:56.605"""	0.1712455	0
"?""2022-02-07 14:15:06.598"""	0.1712455	0
"?""2022-02-07 14:15:16.600"""	0.1712455	0
"?""2022-02-07 14:15:26.606"""	0.1712455	0
"?""2022-02-07 14:15:36.596"""	0.1712455	0
"?""2022-02-07 14:15:46.603"""	0.1712455	0
"?""2022-02-07 14:15:56.593"""	0.1712455	0
"?""2022-02-07 14:16:06.599"""	0.1712455	0
"?""2022-02-07 14:16:16.605"""	0.1712455	0
"?""2022-02-07 14:16:26.594"""	0.1712455	0
"?""2022-02-07 14:16:36.600"""	0.1712455	0
"?""2022-02-07 14:16:46.591"""	0.1712455	0
"?""2022-02-07 14:16:56.596"""	0.1712455	0
"?""2022-02-07 14:17:06.602"""	0.1712455	0
"?""2022-02-07 14:17:16.592"""	0.1712455	0
"?""2022-02-07 14:17:26.599"""	0.1712455	0
"?""2022-02-07 14:17:36.588"""	0.1712455	0
"?""2022-02-07 14:17:46.579"""	0.1712455	0
"?""2022-02-07 14:17:56.583"""	0.1712455	0
"?""2022-02-07 14:18:06.578"""	0.1712455	0
"?""2022-02-07 14:18:16.579"""	0.1712455	0
"?""2022-02-07 14:18:26.586"""	0.1712455	0
"?""2022-02-07 14:18:36.577"""	0.1712455	0
"?""2022-02-07 14:18:46.582"""	0.1712455	0
"?""2022-02-07 14:18:56.575"""	0.1712455	0
"?""2022-02-07 14:19:06.577"""	0.1712455	0
"?""2022-02-07 14:19:16.567"""	0.1712455	0
"?""2022-02-07 14:19:26.573"""	0.1712455	0
"?""2022-02-07 14:19:36.566"""	0.1712455	0
"?""2022-02-07 14:19:46.569"""	0.1712455	0
"?""2022-02-07 14:19:56.564"""	0.1712455	0
"?""2022-02-07 14:20:06.565"""	0.1712455	0
"?""2022-02-07 14:20:16.571"""	0.1712455	0
"?""2022-02-07 14:20:26.560"""	0.1712455	0
"?""2022-02-07 14:20:36.567"""	0.1712455	0
"?""2022-02-07 14:20:46.562"""	0.1712455	0
"?""2022-02-07 14:20:56.551"""	0.1712455	0
"?""2022-02-07 14:21:06.552"""	0.1712455	0
"?""2022-02-07 14:21:16.559"""	0.1712455	0
"?""2022-02-07 14:21:26.550"""	0.1712455	0
"?""2022-02-07 14:21:36.554"""	0.1712455	0
"?""2022-02-07 14:21:46.548"""	0.1712455	0
"?""2022-02-07 14:21:56.551"""	0.1712455	0
"?""2022-02-07 14:22:06.557"""	0.1712455	0
"?""2022-02-07 14:22:16.546"""	0.1712455	0
"?""2022-02-07 14:22:26.552"""	0.1712455	0
"?""2022-02-07 14:22:36.542"""	0.1712455	0
"?""2022-02-07 14:22:46.548"""	0.1712455	0
"?""2022-02-07 14:22:56.540"""	0.1712455	0
"?""2022-02-07 14:23:06.545"""	0.1712455	0
"?""2022-02-07 14:23:16.539"""	0.1712455	0
"?""2022-02-07 14:23:26.540"""	0.1712455	0
"?""2022-02-07 14:23:36.546"""	0.1712455	0
"?""2022-02-07 14:23:46.536"""	0.1712455	0
"?""2022-02-07 14:23:56.542"""	0.1712455	0
"?""2022-02-07 14:24:06.535"""	0.1712455	0
"?""2022-02-07 14:24:16.539"""	0.1712455	0
"?""2022-02-07 14:24:26.528"""	0.1712455	0
"?""2022-02-07 14:24:36.534"""	0.1712455	0
"?""2022-02-07 14:24:46.527"""	0.1712455	0
"?""2022-02-07 14:24:56.529"""	0.1712455	0
"?""2022-02-07 14:25:06.525"""	0.1712455	0
"?""2022-02-07 14:25:16.526"""	0.1712455	0
"?""2022-02-07 14:25:26.532"""	0.1712455	0
"?""2022-02-07 14:25:36.525"""	0.1712455	0
"?""2022-02-07 14:25:46.528"""	0.1712455	0
"?""2022-02-07 14:25:56.517"""	0.1712455	0
"?""2022-02-07 14:26:06.523"""	0.1712455	0
"?""2022-02-07 14:26:16.516"""	0.1712455	0
"?""2022-02-07 14:26:26.520"""	0.1712455	0
"?""2022-02-07 14:26:36.526"""	0.1712455	0
"?""2022-02-07 14:26:46.515"""	0.1712455	0
"?""2022-02-07 14:26:56.522"""	0.1712455	0
"?""2022-02-07 14:27:06.512"""	0.1712455	0
"?""2022-02-07 14:27:16.517"""	0.1712455	0
"?""2022-02-07 14:27:26.511"""	0.1712455	0
"?""2022-02-07 14:27:36.514"""	0.1712455	0
"?""2022-02-07 14:27:46.520"""	0.1712455	0
"?""2022-02-07 14:27:56.509"""	0.1712455	0
"?""2022-02-07 14:28:06.515"""	0.1712455	0
"?""2022-02-07 14:28:16.509"""	0.1712455	0
"?""2022-02-07 14:28:26.511"""	0.1712455	0
"?""2022-02-07 14:28:36.517"""	0.1712455	0
"?""2022-02-07 14:28:46.507"""	0.1712455	0
"?""2022-02-07 14:28:56.514"""	0.1712455	0
"?""2022-02-07 14:29:06.506"""	0.1712455	0
"?""2022-02-07 14:29:16.494"""	0.1712455	0
"?""2022-02-07 14:29:26.500"""	0.1712455	0
"?""2022-02-07 14:29:36.505"""	0.1712455	0
"?""2022-02-07 14:29:46.495"""	0.1712455	0
"?""2022-02-07 14:29:56.501"""	0.1712455	0
"?""2022-02-07 14:30:06.492"""	0.1712455	0
"?""2022-02-07 14:30:16.497"""	0.1712455	0
"?""2022-02-07 14:30:26.503"""	0.1712455	0
"?""2022-02-07 14:30:36.492"""	0.1712455	0
"?""2022-02-07 14:30:46.499"""	0.1712455	0
"?""2022-02-07 14:30:56.490"""	0.1712455	0
"?""2022-02-07 14:31:06.495"""	0.1712455	0
"?""2022-02-07 14:31:16.501"""	0.1712455	0
"?""2022-02-07 14:31:26.491"""	0.1712455	0
"?""2022-02-07 14:31:36.497"""	0.1712455	0
"?""2022-02-07 14:31:46.488"""	0.1712455	0
"?""2022-02-07 14:31:56.492"""	0.1712455	0
"?""2022-02-07 14:32:06.487"""	0.1712455	0
"?""2022-02-07 14:32:16.489"""	0.1712455	0
"?""2022-02-07 14:32:26.495"""	0.1712455	0
"?""2022-02-07 14:32:36.484"""	0.1712455	0
"?""2022-02-07 14:32:46.476"""	0.1712455	0
"?""2022-02-07 14:32:56.480"""	0.1712455	0
"?""2022-02-07 14:33:06.474"""	0.1712455	0
"?""2022-02-07 14:33:16.477"""	0.1712455	0
"?""2022-02-07 14:33:26.483"""	0.1712455	0
"?""2022-02-07 14:33:36.472"""	0.1712455	0
"?""2022-02-07 14:33:46.478"""	0.1712455	0
"?""2022-02-07 14:33:56.472"""	0.1712455	0
"?""2022-02-07 14:34:06.474"""	0.1712455	0
"?""2022-02-07 14:34:16.463"""	0.1712455	0
"?""2022-02-07 14:34:26.469"""	0.1712455	0
"?""2022-02-07 14:34:36.460"""	0.1712455	0
"?""2022-02-07 14:34:46.466"""	0.1712455	0
"?""2022-02-07 14:34:56.459"""	0.1712455	0
"?""2022-02-07 14:35:06.461"""	0.1712455	0
"?""2022-02-07 14:35:16.468"""	0.1712455	0
"?""2022-02-07 14:35:26.459"""	0.1712455	0
"?""2022-02-07 14:35:36.464"""	0.1712455	0
"?""2022-02-07 14:35:46.458"""	0.1712455	0
"?""2022-02-07 14:35:56.460"""	0.1712455	0
"?""2022-02-07 14:36:06.452"""	0.1712455	0
"?""2022-02-07 14:36:16.455"""	0.1712455	0
"?""2022-02-07 14:36:26.461"""	0.1712455	0
"?""2022-02-07 14:36:36.451"""	0.1712455	0
"?""2022-02-07 14:36:46.457"""	0.1712455	0
"?""2022-02-07 14:36:56.450"""	0.1712455	0
"?""2022-02-07 14:37:06.454"""	0.1712455	0
"?""2022-02-07 14:37:16.460"""	0.1712455	0
"?""2022-02-07 14:37:26.449"""	0.1712455	0
"?""2022-02-07 14:37:36.443"""	0.1712455	0
"?""2022-02-07 14:37:46.445"""	0.1712455	0
"?""2022-02-07 14:37:56.451"""	0.1712455	0
"?""2022-02-07 14:38:06.441"""	0.1712455	0
"?""2022-02-07 14:38:16.447"""	0.1712455	0
"?""2022-02-07 14:38:26.440"""	0.1712455	0
"?""2022-02-07 14:38:36.443"""	0.1712455	0
"?""2022-02-07 14:38:46.438"""	0.1712455	0
"?""2022-02-07 14:38:56.438"""	0.1712455	0
"?""2022-02-07 14:39:06.445"""	0.1712455	0
"?""2022-02-07 14:39:16.438"""	0.1712455	0
"?""2022-02-07 14:39:26.441"""	0.1712455	0
"?""2022-02-07 14:39:36.434"""	0.1712455	0
"?""2022-02-07 14:39:46.437"""	0.1712455	0
"?""2022-02-07 14:39:56.443"""	0.1712455	0
"?""2022-02-07 14:40:06.435"""	0.1712455	0
"?""2022-02-07 14:40:16.440"""	0.1712455	0
"?""2022-02-07 14:40:26.432"""	0.1712455	0
"?""2022-02-07 14:40:36.435"""	0.1712455	0
"?""2022-02-07 14:40:46.441"""	0.1712455	0
"?""2022-02-07 14:40:56.431"""	0.1712455	0
"?""2022-02-07 14:41:06.420"""	0.1712455	0
"?""2022-02-07 14:41:16.428"""	0.1712455	0
"?""2022-02-07 14:41:26.418"""	0.1712455	0
"?""2022-02-07 14:41:36.423"""	0.1712455	0
"?""2022-02-07 14:41:46.429"""	0.1712455	0
"?""2022-02-07 14:41:56.419"""	0.1712455	0
"?""2022-02-07 14:42:06.424"""	0.1712455	0
"?""2022-02-07 14:42:16.416"""	0.1712455	0
"?""2022-02-07 14:42:26.420"""	0.1712455	0
"?""2022-02-07 14:42:36.410"""	0.1712455	0
"?""2022-02-07 14:42:46.416"""	0.1712455	0
"?""2022-02-07 14:42:56.406"""	0.1725059	0
"?""2022-02-07 14:43:06.402"""	0.1751741	0
"?""2022-02-07 14:43:16.401"""	0.1851622	0.07350771
"?""2022-02-07 14:43:26.408"""	0.1926296	0.05245715
"?""2022-02-07 14:43:36.402"""	0.1938428	0
"?""2022-02-07 14:43:46.404"""	0.1938428	0
"?""2022-02-07 14:43:56.410"""	0.1938428	0
"?""2022-02-07 14:44:06.400"""	0.1938428	0
"?""2022-02-07 14:44:16.393"""	0.1938428	0
"?""2022-02-07 14:44:26.395"""	0.1938428	0
"?""2022-02-07 14:44:36.401"""	0.1938428	0
"?""2022-02-07 14:44:46.392"""	0.1938428	0
"?""2022-02-07 14:44:56.398"""	0.1938428	0
"?""2022-02-07 14:45:06.390"""	0.1938428	0
"?""2022-02-07 14:45:16.393"""	0.1938428	0
"?""2022-02-07 14:45:26.400"""	0.1938428	0
"?""2022-02-07 14:45:36.389"""	0.1938428	0
"?""2022-02-07 14:45:46.395"""	0.1938428	0
"?""2022-02-07 14:45:56.386"""	0.1938428	0
"?""2022-02-07 14:46:06.378"""	0.1938428	0
"?""2022-02-07 14:46:16.381"""	0.1938428	0
"?""2022-02-07 14:46:26.387"""	0.1960235	0
"?""2022-02-07 14:46:36.377"""	0.1960235	0
"?""2022-02-07 14:46:46.383"""	0.1986862	0
"?""2022-02-07 14:46:56.374"""	0.1986862	0
"?""2022-02-07 14:47:06.379"""	0.1986862	0
"?""2022-02-07 14:47:16.372"""	0.218728	0.01789714
"?""2022-02-07 14:47:26.375"""	0.2299677	0.26214
"?""2022-02-07 14:47:36.364"""	0.245254	0
"?""2022-02-07 14:47:46.372"""	0.2483818	0
"?""2022-02-07 14:47:56.364"""	0.2483818	0
"?""2022-02-07 14:48:06.367"""	0.2483818	0
"?""2022-02-07 14:48:16.373"""	0.2483818	0
"?""2022-02-07 14:48:26.364"""	0.2483818	0
"?""2022-02-07 14:48:36.368"""	0.2483818	0
"?""2022-02-07 14:48:46.362"""	0.2483818	0
"?""2022-02-07 14:48:56.365"""	0.2483818	0
"?""2022-02-07 14:49:06.371"""	0.2483818	0
"?""2022-02-07 14:49:16.360"""	0.2483818	0
"?""2022-02-07 14:49:26.353"""	0.2525722	0
"?""2022-02-07 14:49:36.356"""	0.2589028	0.26214
"?""2022-02-07 14:49:46.351"""	0.2781099	0.02298441
"?""2022-02-07 14:49:56.352"""	0.2785588	0
"?""2022-02-07 14:50:06.360"""	0.2785588	0
"?""2022-02-07 14:50:16.349"""	0.2785588	0
"?""2022-02-07 14:50:26.355"""	0.2785588	0
"?""2022-02-07 14:50:36.348"""	0.2785588	0
"?""2022-02-07 14:50:46.350"""	0.2785588	0
"?""2022-02-07 14:50:56.344"""	0.2785588	0
"?""2022-02-07 14:51:06.346"""	0.2785588	0
"?""2022-02-07 14:51:16.352"""	0.2785588	0
"?""2022-02-07 14:51:26.342"""	0.2785588	0
"?""2022-02-07 14:51:36.348"""	0.2785588	0
"?""2022-02-07 14:51:46.338"""	0.2785588	0
"?""2022-02-07 14:51:56.344"""	0.2785588	0
"?""2022-02-07 14:52:06.338"""	0.2785588	0
"?""2022-02-07 14:52:16.340"""	0.2785588	0
"?""2022-02-07 14:52:26.346"""	0.2785588	0
"?""2022-02-07 14:52:36.335"""	0.2785588	0
"?""2022-02-07 14:52:46.329"""	0.2785588	0
"?""2022-02-07 14:52:56.333"""	0.2785588	0
"?""2022-02-07 14:53:06.337"""	0.2785588	0
"?""2022-02-07 14:53:16.327"""	0.2785588	0
"?""2022-02-07 14:53:26.334"""	0.2785588	0
"?""2022-02-07 14:53:36.323"""	0.2785588	0
"?""2022-02-07 14:53:46.330"""	0.2785588	0
"?""2022-02-07 14:53:56.325"""	0.2785588	0
"?""2022-02-07 14:54:06.325"""	0.2785588	0
"?""2022-02-07 14:54:16.315"""	0.2785588	0
"?""2022-02-07 14:54:26.321"""	0.2785588	0
"?""2022-02-07 14:54:36.327"""	0.2785588	0
"?""2022-02-07 14:54:46.317"""	0.2785588	0
"?""2022-02-07 14:54:56.323"""	0.2785588	0
"?""2022-02-07 14:55:06.314"""	0.2785588	0
"?""2022-02-07 14:55:16.319"""	0.2785588	0
"?""2022-02-07 14:55:26.325"""	0.2785588	0
"?""2022-02-07 14:55:36.315"""	0.2785588	0
"?""2022-02-07 14:55:46.321"""	0.2785588	0
"?""2022-02-07 14:55:56.314"""	0.2785588	0
"?""2022-02-07 14:56:06.317"""	0.2785588	0
"?""2022-02-07 14:56:16.311"""	0.2785588	0
"?""2022-02-07 14:56:26.312"""	0.2785588	0
"?""2022-02-07 14:56:36.319"""	0.2785588	0
"?""2022-02-07 14:56:46.308"""	0.2785588	0
"?""2022-02-07 14:56:56.315"""	0.2785588	0
"?""2022-02-07 14:57:06.309"""	0.2785588	0
"?""2022-02-07 14:57:16.311"""	0.2785588	0
"?""2022-02-07 14:57:26.317"""	0.2785588	0
"?""2022-02-07 14:57:36.306"""	0.2785588	0
"?""2022-02-07 14:57:46.302"""	0.2785588	0
"?""2022-02-07 14:57:56.302"""	0.2785588	0
"?""2022-02-07 14:58:06.296"""	0.2785588	0
"?""2022-02-07 14:58:16.300"""	0.2785588	0
"?""2022-02-07 14:58:26.305"""	0.2785588	0
"?""2022-02-07 14:58:36.294"""	0.2785588	0
"?""2022-02-07 14:58:46.300"""	0.2785588	0
"?""2022-02-07 14:58:56.293"""	0.2785588	0
"?""2022-02-07 14:59:06.298"""	0.2785588	0
"?""2022-02-07 14:59:16.303"""	0.2785588	0
"?""2022-02-07 14:59:26.292"""	0.2785588	0
"?""2022-02-07 14:59:36.298"""	0.2785588	0
"?""2022-02-07 14:59:46.291"""	0.2785588	0
"?""2022-02-07 14:59:56.294"""	0.2785588	0
"?""2022-02-07 15:00:06.288"""	0.2785588	0
"?""2022-02-07 15:00:16.290"""	0.2785588	0
"?""2022-02-07 15:00:26.297"""	0.2785588	0
"?""2022-02-07 15:00:36.288"""	0.2785588	0
"?""2022-02-07 15:00:46.292"""	0.2785588	0
"?""2022-02-07 15:00:56.287"""	0.2785588	0
"?""2022-02-07 15:01:06.288"""	0.2785588	0
"?""2022-02-07 15:01:16.294"""	0.2785588	0
"?""2022-02-07 15:01:26.285"""	0.2785588	0
"?""2022-02-07 15:01:36.291"""	0.2785588	0
"?""2022-02-07 15:01:46.285"""	0.2785588	0
"?""2022-02-07 15:01:56.286"""	0.2785588	0
"?""2022-02-07 15:02:06.292"""	0.2785588	0
"?""2022-02-07 15:02:16.283"""	0.2785588	0
"?""2022-02-07 15:02:26.288"""	0.2808257	0
"?""2022-02-07 15:02:36.282"""	0.2808257	0
"?""2022-02-07 15:02:46.284"""	0.2893068	0.07714329
"?""2022-02-07 15:02:56.291"""	0.3017528	0.26214
"?""2022-02-07 15:03:06.279"""	0.32664	0
"?""2022-02-07 15:03:16.286"""	0.32664	0
"?""2022-02-07 15:03:26.281"""	0.32664	0
"?""2022-02-07 15:03:36.282"""	0.32664	0
"?""2022-02-07 15:03:46.288"""	0.32664	0
"?""2022-02-07 15:03:56.278"""	0.32664	0
"?""2022-02-07 15:04:06.284"""	0.32664	0
"?""2022-02-07 15:04:16.275"""	0.32664	0
"?""2022-02-07 15:04:26.263"""	0.32664	0
"?""2022-02-07 15:04:36.270"""	0.32664	0
"?""2022-02-07 15:04:46.261"""	0.32664	0
"?""2022-02-07 15:04:56.265"""	0.32664	0
"?""2022-02-07 15:05:06.259"""	0.32664	0
"?""2022-02-07 15:05:16.263"""	0.32664	0
"?""2022-02-07 15:05:26.258"""	0.32664	0
"?""2022-02-07 15:05:36.258"""	0.32664	0
"?""2022-02-07 15:05:46.264"""	0.32664	0
"?""2022-02-07 15:05:56.271"""	0.32664	0
"?""2022-02-07 15:06:06.259"""	0.32664	0
"?""2022-02-07 15:06:16.265"""	0.32664	0
"?""2022-02-07 15:06:26.255"""	0.32664	0
"?""2022-02-07 15:06:36.249"""	0.32664	0
"?""2022-02-07 15:06:46.251"""	0.32664	0
